,Date,Month,Day,Year,Month_Name,Week_Name
0,2019-01-05,1,5,2019,Jan,Saturday
1,2019-03-08,3,8,2019,Mar,Friday
2,2019-03-03,3,3,2019,Mar,Sunday
3,2019-01-27,1,27,2019,Jan,Sunday
4,2019-02-08,2,8,2019,Feb,Friday
5,2019-03-25,3,25,2019,Mar,Monday
6,2019-02-25,2,25,2019,Feb,Monday
7,2019-02-24,2,24,2019,Feb,Sunday
8,2019-01-10,1,10,2019,Jan,Thursday
9,2019-02-20,2,20,2019,Feb,Wednesday
10,2019-02-06,2,6,2019,Feb,Wednesday
11,2019-03-09,3,9,2019,Mar,Saturday
12,2019-02-12,2,12,2019,Feb,Tuesday
13,2019-02-07,2,7,2019,Feb,Thursday
14,2019-03-29,3,29,2019,Mar,Friday
15,2019-01-15,1,15,2019,Jan,Tuesday
16,2019-03-11,3,11,2019,Mar,Monday
17,2019-01-01,1,1,2019,Jan,Tuesday
18,2019-01-21,1,21,2019,Jan,Monday
19,2019-03-05,3,5,2019,Mar,Tuesday
20,2019-03-15,3,15,2019,Mar,Friday
21,2019-02-17,2,17,2019,Feb,Sunday
22,2019-03-02,3,2,2019,Mar,Saturday
23,2019-03-22,3,22,2019,Mar,Friday
24,2019-03-10,3,10,2019,Mar,Sunday
25,2019-01-25,1,25,2019,Jan,Friday
26,2019-01-28,1,28,2019,Jan,Monday
27,2019-01-07,1,7,2019,Jan,Monday
28,2019-03-23,3,23,2019,Mar,Saturday
29,2019-01-17,1,17,2019,Jan,Thursday
30,2019-02-02,2,2,2019,Feb,Saturday
31,2019-03-04,3,4,2019,Mar,Monday
32,2019-03-16,3,16,2019,Mar,Saturday
33,2019-02-27,2,27,2019,Feb,Wednesday
34,2019-02-10,2,10,2019,Feb,Sunday
35,2019-03-19,3,19,2019,Mar,Tuesday
36,2019-02-03,2,3,2019,Feb,Sunday
37,2019-03-07,3,7,2019,Mar,Thursday
38,2019-02-28,2,28,2019,Feb,Thursday
39,2019-03-27,3,27,2019,Mar,Wednesday
40,2019-01-20,1,20,2019,Jan,Sunday
41,2019-03-12,3,12,2019,Mar,Tuesday
42,2019-02-15,2,15,2019,Feb,Friday
43,2019-03-06,3,6,2019,Mar,Wednesday
44,2019-02-14,2,14,2019,Feb,Thursday
45,2019-03-13,3,13,2019,Mar,Wednesday
46,2019-01-24,1,24,2019,Jan,Thursday
47,2019-01-06,1,6,2019,Jan,Sunday
48,2019-02-11,2,11,2019,Feb,Monday
49,2019-01-22,1,22,2019,Jan,Tuesday
50,2019-01-13,1,13,2019,Jan,Sunday
51,2019-01-09,1,9,2019,Jan,Wednesday
52,2019-01-12,1,12,2019,Jan,Saturday
53,2019-01-26,1,26,2019,Jan,Saturday
54,2019-01-23,1,23,2019,Jan,Wednesday
55,2019-02-23,2,23,2019,Feb,Saturday
56,2019-01-02,1,2,2019,Jan,Wednesday
57,2019-02-09,2,9,2019,Feb,Saturday
58,2019-03-26,3,26,2019,Mar,Tuesday
59,2019-03-01,3,1,2019,Mar,Friday
60,2019-02-01,2,1,2019,Feb,Friday
61,2019-03-28,3,28,2019,Mar,Thursday
62,2019-03-24,3,24,2019,Mar,Sunday
63,2019-02-05,2,5,2019,Feb,Tuesday
64,2019-01-19,1,19,2019,Jan,Saturday
65,2019-01-16,1,16,2019,Jan,Wednesday
66,2019-01-08,1,8,2019,Jan,Tuesday
67,2019-02-18,2,18,2019,Feb,Monday
68,2019-01-18,1,18,2019,Jan,Friday
69,2019-02-16,2,16,2019,Feb,Saturday
70,2019-02-22,2,22,2019,Feb,Friday
71,2019-01-29,1,29,2019,Jan,Tuesday
72,2019-01-04,1,4,2019,Jan,Friday
73,2019-03-30,3,30,2019,Mar,Saturday
74,2019-01-30,1,30,2019,Jan,Wednesday
75,2019-01-03,1,3,2019,Jan,Thursday
76,2019-03-21,3,21,2019,Mar,Thursday
77,2019-02-13,2,13,2019,Feb,Wednesday
78,2019-01-14,1,14,2019,Jan,Monday
79,2019-03-18,3,18,2019,Mar,Monday
80,2019-03-20,3,20,2019,Mar,Wednesday
81,2019-02-21,2,21,2019,Feb,Thursday
82,2019-01-31,1,31,2019,Jan,Thursday
83,2019-01-11,1,11,2019,Jan,Friday
84,2019-02-26,2,26,2019,Feb,Tuesday
85,2019-03-17,3,17,2019,Mar,Sunday
86,2019-03-14,3,14,2019,Mar,Thursday
87,2019-02-04,2,4,2019,Feb,Monday
88,2019-02-19,2,19,2019,Feb,Tuesday
